location,time,T_amb,wind_speed,wind_dir,humidity,irradiance,cloud_cover,pressure,pv_height,pitch,roll,yaw,T_operating,eta
 -87.63  41.88  181.0, 0 11 202  7 2024,    285.4564,      2.7317,     45.4628,      0.1801,   1183.5163,      0.7446,  86277.3655,      2.7697,     37.0770,    -34.6418,    -12.0289,  291.3366,0.205451
 151.21 -33.87   39.0, 0 16 299 10 2024,    256.9509,     19.1919,     95.2597,      0.3093,   1010.3074,      0.1995,  89344.5051,      3.7577,     12.2636,      3.6985,     32.1496,  260.3905,0.230208
-112.07  33.45  331.0, 0  6  15  1 2024,    246.5151,      3.3496,     23.2943,      0.2302,    208.4667,      0.8030,  79184.1790,      0.7215,     22.3443,    -35.3708,    -13.8477,  246.7016,0.241159
  -0.13  51.51   11.0, 0 16 299 10 2024,    312.4408,      7.5477,      2.0997,      0.8248,   1221.7945,      0.9076,  85890.4216,      4.5020,     72.3645,     40.0327,    179.7034,  312.4408,0.188567
  55.30  25.20    5.0, 0 12  75  3 2024,    253.0313,     24.1028,    192.9929,      0.4434,   1267.3647,      0.8952,  88777.3965,      3.7390,     86.5933,    -38.1796,     53.1460,  253.2272,0.235938
 151.21 -33.87   39.0, 0  9  46  2 2024,    317.8999,      4.7565,    283.9615,      0.8384,   1115.1542,      0.9774,  60623.8924,      1.6848,     39.1307,      4.4354,    -33.6109,  318.3090,0.183873
 139.69  35.69   40.0, 0 12  75  3 2024,    316.8352,     16.8694,    136.9689,      0.1603,    335.5302,      0.9287,  63432.6044,      2.0723,     65.5881,    -26.2625,   -155.8717,  316.8352,0.185052
 -87.63  41.88  181.0, 0  9  46  2 2024,    240.1273,     11.8346,    169.3511,      0.8071,    766.4977,      0.0959,  91710.3225,      2.1385,     85.5513,     18.6975,    155.6029,  240.1273,0.246418
 139.69  35.69   40.0, 0 12 355 12 2024,    315.3969,     21.2258,    118.8954,      0.7341,    168.6248,      0.8830,  82351.3950,      2.1371,     78.2113,      2.9917,    -48.1136,  315.5012,0.186119
  -0.13  51.51   11.0, 0  8 325 11 2024,    285.2700,      7.7253,     28.1566,      0.6745,    529.8081,      0.2760,  72790.7166,      4.5535,     85.2317,     25.9332,    -92.1428,  289.3856,0.207011
-112.07  33.45  331.0, 0 15 105  4 2024,    295.7410,     18.9792,    323.4829,      0.4881,    642.2844,      0.2553,  60341.3113,      0.7013,     60.8677,     19.9255,    -51.9605,  295.7410,0.201927
  28.05 -26.20 1753.0, 0 11 202  7 2024,    254.3556,     21.9193,     26.0287,      0.4369,    229.7457,      0.2505,  67634.2088,      4.4129,     50.3721,      5.1201,    102.5685,  254.7362,0.234731
 151.21 -33.87   39.0, 0 12  75  3 2024,    317.6316,      4.7525,    200.4460,      0.9444,    232.4226,      0.6412,  69527.3092,      4.8060,     48.2334,     10.1139,    107.2637,  318.7869,0.183491
  28.05 -26.20 1753.0, 0 12  75  3 2024,    237.7385,     20.8591,    112.2102,      0.1054,    708.5799,      0.2712,  62585.9085,      1.4972,     82.5781,     26.8451,    -39.6902,  237.7385,0.248329
  -0.13  51.51   11.0, 0 11 202  7 2024,    256.6530,     11.9677,    353.2131,      0.5710,   1213.0793,      0.1446,  86611.8753,      3.9334,     44.0049,     11.4661,    -74.9823,  265.9288,0.225777
  28.05 -26.20 1753.0, 0  6  15  1 2024,    313.2875,     12.2859,    287.8249,      0.7088,   1239.9228,      0.1428,  93711.0466,      2.6833,     73.3560,     30.8796,   -146.6916,  316.1405,0.185608
 -87.63  41.88  181.0, 0  9 266  9 2024,    314.6616,     21.7249,     25.2534,      0.6641,    789.3552,      0.3966,  99512.5998,      3.9299,     38.1309,    -15.4398,      9.6157,  316.6016,0.185239
-122.00  37.50   25.0, 0 10 135  5 2024,    256.5609,      6.2540,     17.8540,      0.0110,    537.7070,      0.9126,  90069.3654,      2.0798,     72.7446,    -35.6544,   -152.5183,  256.7402,0.233128
 151.21 -33.87   39.0, 0 15 105  4 2024,    243.3193,      3.1921,    184.9728,      0.7807,   1293.1887,      0.3508,  99032.0759,      3.7444,     55.0402,    -16.5567,     22.9361,  245.2228,0.242342
-122.00  37.50   25.0, 0 16 299 10 2024,    249.2017,      8.8730,      7.2266,      0.8757,     16.5138,      0.0192,  92414.4671,      3.8711,     85.7081,    -16.9283,    114.9120,  249.3196,0.239064
  55.30  25.20    5.0, 0 11 202  7 2024,    265.5933,     23.0550,    133.0190,      0.0838,    692.1840,      0.2870,  85319.5451,      2.6409,     83.6718,     31.2125,    -51.6781,  266.4823,0.225334
  55.30  25.20    5.0, 0  9  46  2 2024,    283.3733,      6.8444,    109.3945,      0.7470,    430.3971,      0.8596,  80040.8451,      3.1946,      3.2706,    -31.5602,     52.9719,  283.7997,0.211480
  55.30  25.20    5.0, 0  6  15  1 2024,    295.0483,     22.9525,    269.0607,      0.9552,   1216.9621,      0.7352,  67975.7865,      1.8024,      2.0755,     -4.8396,     67.4379,  295.0483,0.202481
 -46.63 -23.55  760.0, 0 12  75  3 2024,    296.7625,     11.8541,     17.9739,      0.1630,   1155.3431,      0.4588, 100972.7312,      2.5288,     50.9271,     -6.8369,   -114.0797,  301.9242,0.196981
 -87.63  41.88  181.0, 0  8 325 11 2024,    310.0725,     18.5311,    194.3849,      0.7546,    719.6867,      0.8019,  90730.6015,      2.5579,     65.5995,     37.3916,    -49.2719,  310.9470,0.189762
 151.21 -33.87   39.0, 0  6  15  1 2024,    234.2979,     12.6405,    184.6635,      0.4207,   1274.7277,      0.4328,  93405.1648,      4.2906,     63.3448,    -16.8634,    -17.7836,  238.4175,0.247786
 151.21 -33.87   39.0, 0  9 266  9 2024,    313.5159,      4.4983,     37.0831,      0.3072,   1301.1802,      0.0315,  78502.3126,      3.0456,     14.9417,     28.6986,    173.5126,  328.8732,0.175421
  55.30  25.20    5.0, 0 13 172  6 2024,    289.0848,     10.4539,    263.2361,      0.2800,   1083.4495,      0.6798,  89466.4815,      3.4773,     53.9203,      0.5727,    -11.4429,  291.4130,0.205390
  28.05 -26.20 1753.0, 0 11 202  7 2024,    298.5554,      1.0249,    282.8698,      0.8389,    221.4202,      0.9840,  69805.8588,      2.3376,     46.0562,     20.1255,    157.4120,  298.6452,0.199604
 -87.63  41.88  181.0, 0 14 228  8 2024,    321.4529,     12.3511,    214.1157,      0.7006,    303.7158,      0.9142,  84113.5828,      4.3957,     61.3938,     16.4557,    159.8709,  321.5087,0.181313
-122.00  37.50   25.0, 0 12 355 12 2024,    314.0736,      2.3106,    287.3587,      0.8474,   1129.1454,      0.1125, 100616.3893,      1.6891,     22.4029,     10.4291,     28.3347,  335.9253,0.169780
  28.05 -26.20 1753.0, 0  9 266  9 2024,    311.2488,     11.0806,    189.6676,      0.1748,    235.3513,      0.0315,  92348.4991,      0.7966,     16.4451,      3.3280,     45.7742,  312.9842,0.188133
  -0.13  51.51   11.0, 0  6  15  1 2024,    247.7953,     24.7623,    237.3461,      0.1562,    786.3969,      0.5783,  74491.6805,      3.1899,     60.9465,    -19.0512,    -75.8952,  249.3064,0.239075
 139.69  35.69   40.0, 0  9  46  2 2024,    290.2634,     14.3570,    260.3184,      0.6596,    360.4879,      0.1633,  74038.4630,      2.1760,      5.9778,     30.4229,     -0.1268,  291.6214,0.205223
 151.21 -33.87   39.0, 0 11 202  7 2024,    275.2288,     14.5470,    146.6847,      0.4438,   1100.9772,      0.5133,  91632.8240,      1.7897,     65.4782,    -17.9829,    131.6958,  278.4270,0.215778
  -0.13  51.51   11.0, 0 13 172  6 2024,    286.6115,     11.0971,     21.4195,      0.3720,    945.8367,      0.0274,  74863.7297,      0.5615,     11.3546,     17.3360,     79.9187,  301.9230,0.196982
 139.69  35.69   40.0, 0  9  46  2 2024,    239.0839,     16.7182,    260.2125,      0.7621,    222.1204,      0.6260,  98375.8803,      2.4552,      9.3277,     34.8814,     36.6051,  239.3292,0.247057
 151.21 -33.87   39.0, 0  8 325 11 2024,    312.3205,     17.0425,    252.7991,      0.7094,    281.3622,      0.3966,  77007.9167,      2.7501,     25.2197,    -25.2137,    -33.6562,  313.2683,0.187905
  -0.13  51.51   11.0, 0 14 228  8 2024,    257.1924,     21.2666,    310.5600,      0.9536,   1200.6369,      0.7987,  93359.7720,      1.0213,     49.5984,     22.8023,   -163.5710,  257.1924,0.232766
-112.07  33.45  331.0, 0 12  75  3 2024,    287.7751,      1.4687,    128.7508,      0.6027,   1019.5251,      0.8770,  87847.2177,      3.1868,     16.0982,      0.3478,    -84.9307,  290.6072,0.206034
 -87.63  41.88  181.0, 0 16 299 10 2024,    241.4710,      5.0709,     19.5072,      0.2737,    656.3504,      0.7090,  83159.1029,      2.8916,     54.4168,     23.8074,     34.3900,  244.1580,0.243194
-122.00  37.50   25.0, 0 12  75  3 2024,    265.1565,      7.6870,    350.1517,      0.4924,   1320.8138,      0.9983,  69650.0269,      0.9301,      0.8214,    -41.1626,    -29.7521,  265.1840,0.226373
-122.00  37.50   25.0, 0 10 135  5 2024,    243.4919,      6.0004,    236.7981,      0.0194,   1122.8082,      0.2955,  66396.2449,      4.4583,     76.5779,    -14.1209,     15.0689,  247.4264,0.240579
  28.05 -26.20 1753.0, 0 12  75  3 2024,    319.7933,      0.0721,    300.1420,      0.7315,   1341.3712,      0.4262,  90259.2451,      2.6076,     84.1232,     25.3926,     77.5093,  319.9633,0.182549
  28.05 -26.20 1753.0, 0 12  75  3 2024,    297.5425,     24.8087,    214.7404,      0.5178,   1006.5894,      0.2208,  97140.9088,      4.2617,     80.6500,      7.8786,    -97.2834,  298.4448,0.199764
-122.00  37.50   25.0, 0  9 266  9 2024,    285.0963,      7.8036,     85.1393,      0.7986,   1227.5085,      0.4987, 101149.2332,      1.5772,     20.4102,    -24.8024,    -56.5552,  293.5144,0.203709
-112.07  33.45  331.0, 0 12 355 12 2024,    246.4679,     13.2220,    218.3178,      0.6017,    954.4154,      0.2914,  65603.8561,      2.7068,     35.9606,    -38.3654,    -67.0163,  249.7801,0.238696
 -87.63  41.88  181.0, 0 10 135  5 2024,    299.3813,     10.2141,     65.6358,      0.9938,   1125.3778,      0.6086, 101262.4204,      1.6517,     71.1767,     31.9549,   -141.0083,  301.2798,0.197496
-122.00  37.50   25.0, 0 16 299 10 2024,    291.0702,     11.9291,     32.8202,      0.0678,    808.8426,      0.9887,  87772.6822,      3.8977,     42.4823,      4.5510,    -76.3304,  291.0702,0.205664
 151.21 -33.87   39.0, 0  9  46  2 2024,    241.2589,     20.4486,     57.8141,      0.8586,    477.9038,      0.6316,  63604.5028,      1.7492,     12.8957,    -34.9291,    -83.2259,  242.2530,0.244718
 151.21 -33.87   39.0, 0 15 105  4 2024,    249.5420,      6.9517,     44.3131,      0.7411,    549.0148,      0.0463,  97830.9150,      0.9996,      4.6019,     12.1799,    -65.0929,  254.0478,0.235282
 -87.63  41.88  181.0, 0  9 266  9 2024,    307.5376,     11.7867,    177.9866,      0.9261,    464.9471,      0.1126,  94160.0720,      4.6544,     21.5222,      8.4383,    130.8972,  308.3094,0.191872
-112.07  33.45  331.0, 0  6  15  1 2024,    260.7683,     13.6546,    265.4604,      0.9799,   1029.1946,      0.6341,  94327.4127,      0.7195,     41.0056,     17.7289,    -27.6184,  263.3785,0.227817
  -0.13  51.51   11.0, 0 16 299 10 2024,    317.5622,     17.8943,     70.7184,      0.7011,    196.6943,      0.8211,  72817.2466,      4.2743,     13.5412,     30.2670,     40.3618,  317.6450,0.184404
 151.21 -33.87   39.0, 0 10 135  5 2024,    260.2754,     19.3619,    267.8557,      0.4359,    851.3423,      0.5290,  65598.1076,      3.9499,     57.4570,    -31.0553,    -53.3202,  260.8177,0.229866
  28.05 -26.20 1753.0, 0  6  15  1 2024,    286.5235,     11.5084,    194.8318,      0.5834,   1116.2483,      0.1097,  64030.7066,      2.5763,     20.7168,     11.3101,   -153.3087,  288.7717,0.207503
-112.07  33.45  331.0, 0 11 202  7 2024,    243.0687,      4.6277,    332.7050,      0.3719,     61.2881,      0.6583, 100564.2389,      1.7449,      9.0082,    -14.9651,   -129.6460,  243.4884,0.243729
 -46.63 -23.55  760.0, 0 10 135  5 2024,    302.2150,     22.8530,      8.0958,      0.8379,   1354.7696,      0.9102,  87916.0908,      4.0237,     20.8290,     16.2568,     55.6221,  302.4500,0.196560
  -0.13  51.51   11.0, 0 13 172  6 2024,    300.8037,     16.2267,     52.9079,      0.9759,   1138.4849,      0.0497,  77785.8212,      4.3004,     86.4181,    -37.9712,   -108.6410,  300.8037,0.197877
 -87.63  41.88  181.0, 0  6  15  1 2024,    261.1508,     15.8719,     41.8604,      0.6198,    258.5019,      0.8002,  66734.7933,      3.2405,     62.1644,     34.6595,   -126.8499,  261.3405,0.229448
-122.00  37.50   25.0, 0 14 228  8 2024,    300.9144,     18.7191,      2.6720,      0.8342,   1320.6200,      0.2511,  85855.9396,      1.9205,     47.5081,     28.7063,   -127.4532,  301.8375,0.197050
 103.82   1.35   15.0, 0  8 325 11 2024,    255.4527,     21.5475,     69.9039,      0.4061,    713.0252,      0.3797,  85960.9572,      3.9987,     42.3467,    -29.8793,     77.0133,  255.4527,0.234158
-112.07  33.45  331.0, 0 12  75  3 2024,    233.5991,      6.8413,    331.9079,      0.5952,    752.7839,      0.2577,  74792.1984,      4.1644,      0.5007,    -35.9291,     77.7451,  239.2511,0.247119
 -46.63 -23.55  760.0, 0 11 202  7 2024,    311.6607,      6.1857,    155.5369,      0.2958,   1239.2615,      0.3320,  62345.7882,      0.9081,     41.6380,     -7.7861,     -6.8872,  313.3518,0.187839
 -46.63 -23.55  760.0, 0 14 228  8 2024,    299.6066,      0.3735,    350.0781,      0.4717,    924.7545,      0.0267,  68395.1597,      1.5503,     16.7760,      2.4317,     36.0217,  318.8724,0.183422
  55.30  25.20    5.0, 0 14 228  8 2024,    311.6406,     20.0362,    168.3362,      0.5965,    663.4370,      0.4101,  81725.1607,      0.5312,     62.3349,      7.6634,    156.4928,  313.9415,0.187367
