lon,lat,alt,minute,hour,day,month,year,T_amb,wind_speed,wind_dir,humidity,irradiance,cloud_cover,pressure,pv_height,pitch,roll,yaw,T_operating,eta,eta_mc_sigma
       -0.1300,       51.5100,       11.0000,        0.0000,        9.0000,       80.0000,        3.0000,     2024.0000,      287.0609,        2.3376,      336.3576,        0.9198,      617.7889,        0.4188,    88430.9260,        1.5344,       21.1088,      -30.5594,        9.2789,  292.1032,0.204837,  2.4083E-06
      151.2100,      -33.8700,       39.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      304.8531,        1.5865,      156.0556,        0.6804,     1131.3751,        0.3222,    89449.4089,        1.9184,       41.9011,       25.4658,       77.6347,  310.8375,0.189850,  2.7014E-06
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      281.4236,        4.8062,      238.3948,        0.7061,     1103.7429,        0.0834,    99358.1985,        4.2203,       24.3885,       -8.2199,      -48.3685,  300.3391,0.198249,  6.1967E-06
      -18.0000,       65.0000,       52.0000,        0.0000,       10.0000,      355.0000,       12.0000,     2024.0000,      251.8619,        4.2447,      110.7350,        0.9941,      644.7281,        0.5133,    98408.0235,        2.6600,       76.6816,       11.4146,       41.5577,  254.0674,0.235266,  4.2109E-06
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      285.1750,        4.8720,      201.7920,        0.1519,      920.5343,        0.0568,    96505.4442,        4.4082,        9.8760,        5.2046,       35.2292,  297.7697,0.200304,  6.4657E-06
       -0.1300,       51.5100,       11.0000,        0.0000,        9.0000,       80.0000,        3.0000,     2024.0000,      299.8062,        4.3671,      318.8807,        0.6610,     1077.2714,        0.2029,    88592.6765,        2.9348,       18.1749,      -28.0781,       49.3711,  305.5286,0.194097,  5.5030E-06
      -18.0000,       65.0000,       52.0000,        0.0000,       10.0000,      355.0000,       12.0000,     2024.0000,      260.4389,        4.9385,      235.1942,        0.6673,      237.7405,        0.6025,    93231.9533,        1.1117,       83.7846,      -22.3193,     -114.3807,  260.5454,0.230084,  4.3018E-06
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      310.5071,        7.3194,      250.4231,        0.6365,      898.5915,        0.1742,    88461.1058,        3.3952,       29.2210,      -16.9689,       51.3667,  317.2875,0.184690,  9.0146E-06
       25.0000,       23.5000,      200.0000,        0.0000,       11.0000,       90.0000,        3.0000,     2024.0000,      282.5599,       24.9753,      110.5178,        0.0275,      621.6260,        0.9142,    95909.6803,        3.0228,        8.5529,       34.7176,       93.3800,  282.7741,0.212301,  2.8253E-05
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      282.0066,        2.2720,      299.7400,        0.5776,     1254.2522,        0.2088,    89164.3884,        2.8047,        5.6429,      -24.9624,       48.6227,  298.8813,0.199415,  4.4768E-06
     -122.0000,       37.5000,       25.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      294.7700,        4.0276,      161.7016,        0.3022,     1158.8908,        0.2332,    90706.8036,        0.7442,       25.2095,      -13.9738,       56.0812,  317.7403,0.184328,  3.1889E-06
       25.0000,       23.5000,      200.0000,        0.0000,       11.0000,       90.0000,        3.0000,     2024.0000,      307.5310,       17.0150,       53.9128,        0.4137,      261.1178,        0.7536,    90749.6656,        2.7305,       35.3654,       20.0710,       69.3983,  307.8720,0.192222,  1.5137E-05
      -68.0000,      -16.5000,     3600.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      272.1252,       14.6744,      328.4739,        0.1973,     1274.2205,        0.0397,    71530.7474,        0.5687,       20.1630,       31.0966,       32.1599,  280.8980,0.213802,  9.4301E-06
