location,time,T_amb,wind_speed,wind_dir,humidity,irradiance,cloud_cover,pressure,pv_height,pitch,roll,yaw,T_operating,eta
 103.82   1.35   15.0, 0 16 299 10 2024,    240.1679,     16.0918,    149.8089,      0.4698,    154.4739,      0.6621,  91573.4374,      4.8447,     80.8349,     32.5214,     72.5416,  240.5031,0.246118
 -87.63  41.88  181.0, 0 14 228  8 2024,    311.4709,     16.0044,    120.1948,      0.7802,    692.8306,      0.1687,  99568.5388,      3.3616,     74.9034,     43.5783,     26.8503,  314.2457,0.187123
  -0.13  51.51   11.0, 0  9 266  9 2024,    268.0507,     14.7343,    178.2985,      0.2249,    938.8574,      0.8659, 100359.3233,      4.0279,     24.4505,     20.2341,    155.6708,  268.1089,0.224033
-122.00  37.50   25.0, 0 14 228  8 2024,    248.1980,     10.9333,     51.8239,      0.2288,    427.3692,      0.9128,  80207.1552,      4.0115,     69.6189,    -24.9271,   -150.0071,  248.1980,0.239962
  -0.13  51.51   11.0, 0 10 135  5 2024,    291.5530,      1.9821,    204.9335,      0.2715,     29.7532,      0.9988,  67024.9935,      2.7439,     71.4122,    -22.0782,     69.3059,  291.5530,0.205278
-122.00  37.50   25.0, 0 16 299 10 2024,    294.9799,     23.6526,    334.1165,      0.0260,   1029.4062,      0.9665,  62870.7081,      4.9294,     44.2785,    -12.8604,    -92.2935,  294.9799,0.202536
 -46.63 -23.55  760.0, 0 12  75  3 2024,    270.4544,     15.9868,    268.7346,      0.4046,    601.7794,      0.8469,  63111.4297,      3.0247,     76.6823,     30.5111,   -167.5362,  270.8274,0.221858
-122.00  37.50   25.0, 0  8 325 11 2024,    253.1727,     20.4131,    123.0664,      0.3628,      0.1796,      0.8294,  99822.9240,      1.1181,     83.0979,    -11.5760,    -44.1444,  253.1730,0.235982
  55.30  25.20    5.0, 0 11 202  7 2024,    245.8512,     15.1414,    346.1009,      0.9678,   1068.1989,      0.5556,  81880.1765,      3.5898,     66.1155,     10.6085,     43.3093,  246.9973,0.240922
 139.69  35.69   40.0, 0 12  75  3 2024,    285.3757,     21.0374,    126.7669,      0.1893,    575.0753,      0.2105,  91760.7676,      3.8048,     40.6408,     33.3520,     46.8744,  287.5959,0.208443
 139.69  35.69   40.0, 0  9 266  9 2024,    293.2889,      0.0287,    328.3564,      0.7065,   1026.9955,      0.3958,  82756.9626,      4.6234,     82.6347,      3.5661,     75.0949,  293.2889,0.203889
-112.07  33.45  331.0, 0  8 325 11 2024,    235.2506,     22.7766,    162.2184,      0.1061,    353.7005,      0.5719,  70779.4511,      1.4721,     26.5803,     27.3422,    144.2264,  235.2506,0.250320
 151.21 -33.87   39.0, 0 16 299 10 2024,    305.5291,     14.3243,    262.7614,      0.4906,    539.7030,      0.9613,  83454.3334,      1.5287,     10.5508,     24.1521,   -126.0113,  305.6282,0.194017
  -0.13  51.51   11.0, 0 12 355 12 2024,    234.2812,     17.7091,    179.7130,      0.0729,   1290.1511,      0.2779,  61114.3876,      1.3198,      8.6692,      8.6388,    -88.5463,  236.7879,0.249090
  28.05 -26.20 1753.0, 0 13 172  6 2024,    281.4570,     13.5192,    186.5456,      0.0307,   1287.2745,      0.2664,  68761.6600,      1.6441,     31.7419,     29.6807,     53.8287,  285.5679,0.210066
 103.82   1.35   15.0, 0 10 135  5 2024,    280.6538,     17.6193,    265.5177,      0.8518,    574.3073,      0.1366,  75241.3929,      2.6583,     88.9325,    -18.1718,    136.0817,  280.6538,0.213997
 -46.63 -23.55  760.0, 0 11 202  7 2024,    283.3640,      7.2875,     86.9754,      0.4708,   1054.2742,      0.5942,  60873.4990,      0.5949,     27.9074,      8.7156,    -57.2202,  288.5908,0.207647
 103.82   1.35   15.0, 0 10 135  5 2024,    288.2153,      3.8401,    251.9144,      0.6273,   1284.0178,      0.3686,  66891.3972,      1.5064,     79.1310,     -7.1469,    168.1966,  295.4820,0.202134
-112.07  33.45  331.0, 0 14 228  8 2024,    308.7022,     21.4744,    141.0837,      0.1128,   1193.2797,      0.7130,  64402.0773,      2.7334,     27.7780,    -37.2967,    -91.5106,  309.6454,0.190804
-112.07  33.45  331.0, 0 13 172  6 2024,    248.0541,     16.6704,     69.9364,      0.8159,    157.6069,      0.9293,  60363.6507,      4.4022,     68.6965,    -14.1314,     74.9513,  248.1054,0.240036
 151.21 -33.87   39.0, 0 16 299 10 2024,    261.9089,     19.9312,    172.2903,      0.4909,    616.1801,      0.2741,  96475.0757,      1.7500,      5.7032,    -19.1032,    -81.5240,  263.5549,0.227676
 139.69  35.69   40.0, 0 15 105  4 2024,    262.6179,     17.9413,    276.6166,      0.5049,    935.5601,      0.1573,  60300.5720,      3.4864,      3.9852,    -38.1552,    -39.0309,  265.6413,0.226007
 103.82   1.35   15.0, 0 16 299 10 2024,    317.6020,     18.3760,    315.9430,      0.9447,    686.9701,      0.2786,  63306.2146,      2.4216,     69.9231,     23.0019,   -131.8544,  317.6020,0.184438
-112.07  33.45  331.0, 0 10 135  5 2024,    275.9196,     22.3171,    170.4529,      0.2693,    640.6317,      0.4369,  63772.6725,      2.3520,     57.2192,     42.1696,    -33.2286,  277.4249,0.216580
  28.05 -26.20 1753.0, 0 11 202  7 2024,    258.9034,     17.7543,    195.4885,      0.2521,   1048.6312,      0.3230,  68502.3233,      3.0122,     33.1481,    -39.6925,   -121.4869,  262.5089,0.228513
-112.07  33.45  331.0, 0 10 135  5 2024,    250.1096,      7.7597,    342.4979,      0.6299,    529.7189,      0.4564,  99988.3067,      0.5625,     51.6948,     10.5760,    -44.1313,  255.6543,0.233997
 139.69  35.69   40.0, 0 12  75  3 2024,    238.9383,      9.6661,     21.9333,      0.1266,    349.3764,      0.5857,  88824.7667,      2.0770,     56.1124,     -1.0180,     68.2570,  240.2100,0.246352
-112.07  33.45  331.0, 0 12  75  3 2024,    318.6360,     23.2719,    248.3700,      0.5058,    872.2489,      0.7978,  72812.9350,      1.7784,     57.4700,    -31.7706,    157.7705,  318.6360,0.183611
  -0.13  51.51   11.0, 0  8 325 11 2024,    244.0902,     19.8402,    166.5046,      0.3629,    836.4227,      0.9214,  65645.7419,      3.9679,     48.5160,     -2.3135,    -13.6693,  244.3469,0.243042
 139.69  35.69   40.0, 0 12  75  3 2024,    247.0016,      6.2320,    107.0911,      0.2102,   1131.5388,      0.4323, 100655.9490,      0.9158,     49.5715,    -25.0652,     41.1433,  258.3017,0.231879
  28.05 -26.20 1753.0, 0 13 172  6 2024,    277.4755,      1.4911,    109.8372,      0.5683,    314.7817,      0.4475,  69645.8528,      2.4033,     12.7162,     15.7308,     12.9092,  279.6776,0.214778
  -0.13  51.51   11.0, 0 16 299 10 2024,    317.8522,     19.9146,    271.6071,      0.6099,    187.6838,      0.1885,  77615.0243,      0.8387,     14.0402,     30.5492,     -3.2260,  318.2188,0.183945
