lon,lat,alt,minute,hour,day,month,year,T_amb,wind_speed,wind_dir,humidity,irradiance,cloud_cover,pressure,pv_height,pitch,roll,yaw,T_operating,eta,eta_mc_sigma
      -18.0000,       65.0000,       52.0000,        0.0000,       10.0000,      355.0000,       12.0000,     2024.0000,      237.3392,       12.7297,      133.4980,        0.7245,      253.8910,        0.6768,   100058.7993,        1.7064,       75.7358,        2.4462,       21.4476,  237.9867,0.248131,  8.4865E-06
      103.8200,        1.3500,       15.0000,       30.0000,       14.0000,      120.0000,        4.0000,     2024.0000,      304.4253,        2.7433,      192.1189,        0.9885,     1101.4760,        0.9808,   100888.7136,        0.8153,       12.9845,       -5.6116,       -1.5641,  304.8758,0.194619,  3.0420E-06
      -18.0000,       65.0000,       52.0000,        0.0000,       10.0000,      355.0000,       12.0000,     2024.0000,      233.4930,       13.3285,      126.7946,        0.7722,      278.0800,        0.6010,    97704.3639,        1.3605,       74.5652,       -2.5915,      -13.1542,  234.8307,0.250655,  8.1401E-06
      103.8200,        1.3500,       15.0000,       30.0000,       14.0000,      120.0000,        4.0000,     2024.0000,      302.2846,        2.1459,      189.4288,        0.8946,     1057.8328,        0.8887,    99219.6149,        1.3564,        8.1431,       -6.2131,        9.7726,  304.9464,0.194563,  2.2384E-06
       -0.1300,       51.5100,       11.0000,        0.0000,        9.0000,       80.0000,        3.0000,     2024.0000,      286.8774,        3.8233,      233.4484,        0.7799,      715.7931,        0.3999,   101179.9525,        1.6829,       37.2672,        2.7286,      -15.1414,  295.3276,0.202258,  4.2918E-06
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      310.0225,        2.9883,      196.7318,        0.5692,     1058.8483,        0.1258,   100827.5014,        2.8526,       26.3658,        6.2903,       15.7157,  328.2053,0.175956,  6.8990E-06
       25.0000,       23.5000,      200.0000,        0.0000,       11.0000,       90.0000,        3.0000,     2024.0000,      305.0478,       21.6212,       83.4831,        0.0363,      492.0022,        0.6893,    98695.6385,        3.7497,       23.5119,       11.0695,       -5.4610,  306.0240,0.193701,  2.8026E-05
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      305.5376,        1.9322,      172.5572,        0.5751,     1110.5846,        0.1658,   101213.4783,        2.8133,       17.2828,       -6.9834,       -5.9290,  327.3750,0.176620,  4.0426E-06
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      298.8334,        2.6607,      153.0886,        0.4419,     1133.2644,        0.0977,    99675.7907,        2.9200,       13.5946,        4.7688,        5.8031,  319.8148,0.182668,  4.0894E-06
       25.0000,       23.5000,      200.0000,        0.0000,       11.0000,       90.0000,        3.0000,     2024.0000,      303.0587,       22.3390,       93.9057,        0.0811,      483.8807,        0.7697,    98498.3771,        3.8329,       34.2386,        5.3039,       -2.0230,  303.7338,0.195533,  2.6411E-05
