location,time,T_amb,wind_speed,wind_dir,humidity,irradiance,cloud_cover,pressure,pv_height,pitch,roll,yaw,T_operating,eta
  28.05 -26.20 1753.0, 0 12  75  3 2024,    254.9807,     17.9418,    318.9796,      0.0717,     46.3130,      0.1702,  76535.0786,      1.5199,     46.3057,     -4.3807,     -6.4800,  255.1123,0.234430
-122.00  37.50   25.0, 0 12 355 12 2024,    295.3153,      2.6536,    303.8247,      0.0200,    229.8453,      0.1173,  68393.2995,      3.5789,     30.9463,    -11.9376,    -55.7565,  298.6479,0.199602
 103.82   1.35   15.0, 0  9 266  9 2024,    271.2065,     23.4162,    268.0568,      0.7933,    275.0068,      0.1089,  66911.0689,      0.5900,     37.3632,    -35.8091,   -117.9923,  273.2056,0.219956
  -0.13  51.51   11.0, 0 13 172  6 2024,    309.2500,     21.0570,     80.3728,      0.4130,   1259.4799,      0.8374,  80472.1762,      3.6301,     21.8921,    -27.1631,     55.3650,  310.4650,0.190148
-112.07  33.45  331.0, 0 13 172  6 2024,    275.5944,     20.2795,    343.3320,      0.2375,    446.5337,      0.1061,  74581.6225,      4.7737,     83.3912,     37.5411,    109.3799,  276.2046,0.217556
  28.05 -26.20 1753.0, 0 12  75  3 2024,    244.2300,     12.9257,    275.4125,      0.7725,    236.0544,      0.6592,  85941.1253,      1.8000,     65.4972,    -21.9893,     75.6307,  244.4896,0.242928
  55.30  25.20    5.0, 0  8 325 11 2024,    278.5148,      7.7912,     57.5004,      0.8360,    707.7207,      0.3611,  70809.1060,      2.1526,     59.1625,     29.0750,    104.1591,  278.5148,0.215708
 103.82   1.35   15.0, 0 15 105  4 2024,    242.0289,      2.3249,    124.6054,      0.8860,    793.3813,      0.4319,  98101.5372,      3.0496,     69.5965,     31.0295,   -160.8739,  243.5417,0.243687
  28.05 -26.20 1753.0, 0  9 266  9 2024,    252.3826,     11.8521,    125.1598,      0.1552,   1166.5430,      0.4289,  84657.3608,      4.7075,     85.7665,    -44.9156,    164.5787,  253.1082,0.236033
 151.21 -33.87   39.0, 0  8 325 11 2024,    290.2389,     20.6364,    215.6499,      0.7479,   1312.4908,      0.2294,  62115.2351,      3.1910,      9.5468,    -14.8639,    122.9537,  293.3327,0.203854
  -0.13  51.51   11.0, 0 14 228  8 2024,    290.3537,     20.3060,    127.1515,      0.5653,    109.9615,      0.7705,  92106.0291,      2.9838,     29.9875,     27.5646,    -34.4325,  290.4605,0.206152
  -0.13  51.51   11.0, 0 12 355 12 2024,    318.8783,      4.9230,    328.2088,      0.5294,    913.5253,      0.7944,  63640.7287,      3.4473,     26.7463,     30.2779,     60.6141,  320.3411,0.182247
-122.00  37.50   25.0, 0  8 325 11 2024,    320.0142,     21.7299,    318.4015,      0.0665,    423.3587,      0.1137,  60524.5786,      4.1381,     64.3286,    -19.6691,   -117.8744,  321.1589,0.181593
 -87.63  41.88  181.0, 0 12  75  3 2024,    305.7277,     17.5082,    122.1455,      0.4800,   1232.1827,      0.1733,  87589.1368,      4.4712,     69.9476,     44.7888,    -24.2489,  310.6953,0.189964
  -0.13  51.51   11.0, 0  8 325 11 2024,    311.2895,     11.7430,    270.9704,      0.3836,    642.6108,      0.5770,  68335.2273,      0.8584,     19.8024,     -7.0401,    -89.4055,  312.6777,0.188378
  55.30  25.20    5.0, 0 11 202  7 2024,    262.6393,      2.4171,     44.4730,      0.4060,    282.2055,      0.9488,  84756.8029,      2.0462,      6.3839,     37.5937,   -151.2135,  262.9332,0.228173
 151.21 -33.87   39.0, 0 12 355 12 2024,    310.5529,     10.0087,    259.8551,      0.3168,   1221.5100,      0.8074,  99048.2355,      1.0848,     20.9822,    -16.4693,   -161.2759,  314.6040,0.186837
 -87.63  41.88  181.0, 0  9 266  9 2024,    263.0867,      0.8742,     10.8319,      0.3046,    385.6628,      0.8587,  61550.8685,      3.1288,     53.2726,    -10.9723,    -32.2009,  264.5769,0.226858
  -0.13  51.51   11.0, 0 12  75  3 2024,    239.0693,     24.5264,    303.2985,      0.6271,    156.4700,      0.9464,  62681.4051,      1.7285,     12.9686,     15.0209,    -62.4728,  239.1069,0.247234
 151.21 -33.87   39.0, 0  8 325 11 2024,    233.1943,      0.0255,    122.3199,      0.9499,   1319.2660,      0.1431,  67170.2553,      1.5026,     84.7614,     36.5153,     85.3646,  233.1943,0.251965
 -87.63  41.88  181.0, 0 12  75  3 2024,    244.6970,     12.1445,    196.1030,      0.5173,    537.4045,      0.4257,  88322.3607,      0.6317,     12.5947,    -40.4983,     17.5098,  248.0303,0.240096
-112.07  33.45  331.0, 0 14 228  8 2024,    280.8048,     17.3899,    138.5322,      0.5645,    874.6076,      0.7357,  97305.5265,      1.3837,     38.7544,    -19.6774,   -132.2914,  281.5458,0.213283
