lon,lat,alt,minute,hour,day,month,year,T_amb,wind_speed,wind_dir,humidity,irradiance,cloud_cover,pressure,pv_height,pitch,roll,yaw,T_operating,eta,eta_mc_sigma
      151.2100,      -33.8700,       39.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      285.7442,        1.4965,       33.1172,        0.1851,      581.2574,        0.3810,    96852.5077,        4.4848,       29.5339,        6.3164,      133.9505,  293.4448,0.203764,  3.0703E-06
      -68.0000,      -16.5000,     3600.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      275.4715,       16.0691,      141.3417,        0.7683,      705.9805,        0.8526,    69514.8628,        1.0466,       69.3449,       29.5268,     -108.3117,  276.0029,0.217718,  1.4182E-05
      -18.0000,       65.0000,       52.0000,        0.0000,       10.0000,      355.0000,       12.0000,     2024.0000,      285.4183,       13.5535,      162.6052,        0.4108,     1019.8102,        0.5112,    99089.6044,        0.9840,       36.2598,       22.2029,       68.6036,  285.4183,0.210185,  9.0486E-06
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      257.9814,       17.4148,      272.0220,        0.6688,     1235.1165,        0.1677,    85116.1066,        1.4583,       75.1608,       11.9617,      157.1595,  257.9814,0.232135,  8.5075E-06
       -0.1300,       51.5100,       11.0000,        0.0000,        9.0000,       80.0000,        3.0000,     2024.0000,      311.8238,       22.8946,      348.8527,        0.2747,       40.7044,        0.8325,   100488.1314,        0.5563,       68.5402,       17.6957,       96.5547,  311.8238,0.189061,  1.2818E-05
       -0.1300,       51.5100,       11.0000,        0.0000,        9.0000,       80.0000,        3.0000,     2024.0000,      246.1839,        2.0512,      203.9639,        0.3256,     1352.8469,        0.0365,    69192.0701,        4.7489,       85.4115,      -16.8623,     -127.2597,  254.4050,0.234996,  3.1279E-06
     -122.0000,       37.5000,       25.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      306.7956,       19.2114,      138.4626,        0.1918,      367.1731,        0.3245,    71383.5487,        2.8051,       15.9173,      -38.6413,      179.8480,  308.0492,0.192081,  2.2695E-05
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      282.0956,        6.7715,      273.6834,        0.4025,      362.5098,        0.6785,    72660.3928,        3.5608,        7.4879,      -40.8423,       47.5516,  283.1286,0.212017,  8.1104E-06
      103.8200,        1.3500,       15.0000,       30.0000,       14.0000,      120.0000,        4.0000,     2024.0000,      307.1733,        3.3888,      150.6730,        0.8988,     1064.7775,        0.7313,    84235.2742,        2.9486,       46.1141,       38.9953,       74.8092,  311.8831,0.189013,  5.2769E-06
      103.8200,        1.3500,       15.0000,       30.0000,       14.0000,      120.0000,        4.0000,     2024.0000,      242.2677,       16.2999,      248.4190,        0.8880,       93.5829,        0.0933,    72943.4352,        3.9534,       60.9470,       16.3588,      -14.7846,  242.2981,0.244681,  1.5839E-05
      103.8200,        1.3500,       15.0000,       30.0000,       14.0000,      120.0000,        4.0000,     2024.0000,      311.4863,        2.8263,      261.3306,        0.1877,       46.0527,        0.9206,    81205.6357,        1.6365,       48.4248,       22.4730,      -78.5576,  311.4908,0.189327,  3.5156E-06
     -122.0000,       37.5000,       25.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      306.6111,       11.4992,      258.9405,        0.3155,     1313.6449,        0.8884,    82061.1716,        4.0974,        6.0350,       23.4624,      172.4371,  308.0769,0.192058,  1.3021E-05
       55.3000,       25.2000,        5.0000,        0.0000,       10.0000,      280.0000,       10.0000,     2024.0000,      251.6823,        1.6630,      159.7246,        0.0530,      164.1082,        0.3967,    76179.6888,        4.9623,       60.1468,      -37.0643,       -1.7914,  253.3328,0.235854,  2.9786E-06
       -0.1300,       51.5100,       11.0000,        0.0000,        9.0000,       80.0000,        3.0000,     2024.0000,      307.8806,        3.0102,      294.6538,        0.6317,     1133.4287,        0.4008,    74311.1521,        4.2444,       66.1876,      -34.2946,      -76.0619,  320.6860,0.181971,  5.0201E-06
      103.8200,        1.3500,       15.0000,       30.0000,       14.0000,      120.0000,        4.0000,     2024.0000,      279.2773,        5.3807,      115.7942,        0.4149,      100.1955,        0.5985,    91257.9554,        0.7705,        7.9491,       14.8602,      174.1700,  280.0636,0.214469,  3.9906E-06
      103.8200,        1.3500,       15.0000,       30.0000,       14.0000,      120.0000,        4.0000,     2024.0000,      307.6347,       14.2275,      353.6361,        0.6483,     1155.6782,        0.6236,    79623.9536,        3.1599,       63.6750,        6.8327,     -138.6325,  308.2710,0.191903,  1.3308E-05
       25.0000,       23.5000,      200.0000,        0.0000,       11.0000,       90.0000,        3.0000,     2024.0000,      261.2274,       19.7955,      302.2002,        0.8620,      996.5179,        0.1209,    75415.9390,        1.4341,       73.1232,      -38.1225,      -86.7999,  264.6998,0.226760,  1.0831E-05
       25.0000,       23.5000,      200.0000,        0.0000,       11.0000,       90.0000,        3.0000,     2024.0000,      311.7616,        3.7151,       95.9029,        0.3248,       51.7730,        0.5635,    97981.0267,        1.0987,       64.1007,      -36.0446,     -134.4660,  311.9436,0.188965,  3.4516E-06
       25.0000,       23.5000,      200.0000,        0.0000,       11.0000,       90.0000,        3.0000,     2024.0000,      316.0715,       12.9324,      337.0671,        0.1090,      938.8206,        0.6581,    64453.6845,        1.9730,       28.5592,      -37.1936,     -159.3829,  318.3213,0.183863,  1.3561E-05
       25.0000,       23.5000,      200.0000,        0.0000,       11.0000,       90.0000,        3.0000,     2024.0000,      269.8190,       15.1221,      275.7721,        0.4453,      142.7005,        0.6911,    97307.2920,        3.2367,       42.5080,      -22.0182,      -81.3167,  270.1356,0.222411,  1.5797E-05
      -68.0000,      -16.5000,     3600.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      257.5829,        5.7242,      213.1476,        0.2062,      334.9109,        0.6790,    64528.3274,        4.0950,       24.3279,      -21.0856,     -112.4704,  258.9851,0.231332,  5.6416E-06
      151.2100,      -33.8700,       39.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      273.3740,        8.2809,      239.6704,        0.2761,     1290.5700,        0.8037,    71316.4256,        1.5825,       49.9896,      -22.9819,     -111.3899,  275.7771,0.217898,  7.9546E-06
     -112.0700,       33.4500,      331.0000,        0.0000,       13.0000,      200.0000,        7.0000,     2024.0000,      297.7697,       16.9164,      313.9853,        0.4027,     1170.6201,        0.4615,    88821.0889,        1.3832,        6.3807,      -13.2121,     -107.9774,  304.2315,0.195135,  1.4174E-05
      151.2100,      -33.8700,       39.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      314.1802,        4.3594,       70.5425,        0.1950,      865.4115,        0.7056,    93590.9974,        4.2858,       66.4747,       27.2161,       65.1097,  314.1802,0.187176,  6.5843E-06
       -0.1300,       51.5100,       11.0000,        0.0000,        9.0000,       80.0000,        3.0000,     2024.0000,      312.4834,       17.3903,      248.6693,        0.5837,      777.5861,        0.9155,    87510.9645,        4.2184,       20.4659,        4.2282,       -8.7039,  312.8264,0.188259,  2.7878E-05
      -68.0000,      -16.5000,     3600.0000,        0.0000,       12.0000,      172.0000,        6.0000,     2024.0000,      245.3806,       23.9618,      147.2659,        0.3440,     1144.7005,        0.0923,    73336.4122,        1.2983,       50.0317,       27.5287,       18.8733,  245.5825,0.242054,  1.7064E-05
     -112.0700,       33.4500,      331.0000,        0.0000,       13.0000,      200.0000,        7.0000,     2024.0000,      303.9582,        6.6634,      258.3249,        0.1230,      168.8458,        0.8173,    96582.5744,        1.1180,       38.0673,       11.9597,      -49.5894,  304.4392,0.194969,  4.5921E-06
